profile,result
"
国内985本科，工作十年，EP，老婆不上班带两个孩子，申请第五次通过！！总算结束了",失败
"
女性，来新十年读政府学校，拿到Diploma工作不到一年提交申请，spass月薪2.4k，第一次申请，等了七个月申请通过",通过
"臺灣夫婦，夫EP妻DP，29/27歲，沒小孩。
夫為基金經理人，月底薪14K；妻金融業襄理，月底新4K。
來新滿6個月時由夫主申，期間沒被要求補件，剛滿6個月就被拒。",失败
"SMUmaster，工作一年多申。申请时3.6K+，期间换工作提升将近1K，申请六个月被拒。
",失败
马华女来新4年换过4份工1份wp3份ep台湾大学文凭工资2k以上第一次申请7个多月被拒第二次申请不到三个月就批准了,通过
"
男主申，Ep6500,，来新六年，30岁，中国集美大学，老婆2500，美国BBA学位，来新2年，27岁，孩子一男一女。有买公寓。第一次申请，等十六个月。",通过
"新加坡私立學校碩士LTVPHolder女生底薪2600佣金平均700每個月
先生是新加坡人diploma畢業辦公室文員2.3k

剛剛上網查了過了~~~

",通过
"本人主申，国内普硕。老婆NTUMaster。双EP。来新6年，家庭basic月薪S$12k。
",通过
夫妻两个人ep一岁男孩dp老公主申请人月薪8.5k来信6年被拒2次希望这次能成功,通过
加拿大大学BBA毕业，34岁，单身，马来西亚人，月薪5.5K，新加坡工作1年半。,通过
"国内top3本科，NUS在职硕士，来新6年，工程师
",通过
马来西亚人，来新快5年了，做IT行业EP，月薪2.5k，申请不到4个月批了,通过
"NUSPHD,来新7年，EP，申请时工作8个月，月薪6000+。太太国内硕士，SP，月薪3500+
",通过
"
NUSPHD,来新8年，月薪6000+（固定5000），配偶月薪4000，国内master。",通过
"29岁男中国本科+新加坡masterbase5k
来新加坡前工作2年
在新加坡工作三年半
第二次申请失败告终",失败
"29岁男中国本科+新加坡masterbase5k
来新加坡前工作2年
在新加坡工作三年半
第二次申请失败告终",失败
"酒店经理，7k，澳洲FT研究生，在新8年，带1.5岁本地出生女儿申请，第8次申请(之前每升职，换工作，单身状态，结婚状态，全家申请都试过，全部被拒，这次只带女儿申请）。

Penging一年后要求重新申请，以家庭为单位，一年后再要求补交材料，3个月后成功！一共为时2年多。
",通过
来新近5年，工作3年多。SMU授课硕士。另有一海外大学授课硕士。月薪6700.单身，男，35岁，中国公民,通过
"NanyangPoly毕业，工作持S-Pass，申请时NTUPart-Time在读，七个月通过
",通过
"马来西亚女，34岁，单身。
本科（没用的科系）加ACCAaffiliate。
会计执行员，$2700。
来新快九年，中间有回马一年。WP三年半，SP三年多，EP八个月。
第一次申请。
各位大龄剩女别放弃，nevertryneverknow，大家加油！！

",通过
"来新14年理工生毕业工作六个月申请时月薪2300
",通过
"Malaysian,Degreeholder,EmploymentPass,Engineer,Salary3k,stayalmost2yearinSG,2ndcompany
",通过
"08年来新，本地Secondary,JC，大学NTU全额奖学金，刚毕业工作1个月EP薪水单申请，basic5k,年薪7万+，不到5个月批准，男生，25岁",通过
来新差不多十年，本地中学，poly，去澳洲读了2年本科回来工作半年开始申请，薪水2800......将近8个月approve,通过
"大学本科,2009年来新工作SP,2014年跟老婆孩子申请DP,2017年初转EP,孩子运气还不错2018年申请到政府小学,月薪6500+,2019年4月17号全家一起申请,刚刚满三个月就批了",通过
来坡工作2年国内211硕士老公本地人国大本科本人月薪8k+家庭收入15k+名下有HDB,通过
"
和太太2008年分别来新读书，在学校相识，结婚在新加坡买房.夫妻二人都是本地私立硕士毕业，读书四年，建筑行业工作七年.携夫人+小女一岁申请.家庭月收入9K

",通过
"
来新5年，NUS博，国内985，EP，月薪5k+，个人申请",通过
女，EP，工资10k，来坡3年工作2年,通过
"中国211硕士，律所非律师岗，未婚，来新三年多时第一次申请，目前已经pending4个半月了。
",失败
"
来新十年，本地中学，poly，澳洲本科，等待将近8个月。spass，2.8k",通过
男单身EP七年10k国内985211，去年10月底申请7月通过，正在办PR手续,通过
"夫妻+两个男孩，17一月份来新，老婆月薪10k，金融类，EP，软件测试，主申请
老公DP+LOC工作，月薪8k，IT类，软件开发，大的男孩在读国际学校，小的男孩在PCFchildchare,

",通过
"来新2年,9854K+
",通过
"
全家申请，夫妻+一儿一女，到批准时正好来新六年。男主申8K/月，公司法务，国内名校小本，无本地硕士学历。女主当时仍申报为主妇，国内某完美错过211和985的政法小本。大儿子上本地政府小学，女儿本地出生2岁。此前有三次悲剧经历。希望我们的经历能给大家力量，千万不要放弃，总有一次能成功！
",通过
"夫妻EP，儿子2岁DP，太太
澳洲master，我澳洲本科，单身各自申请过2次，结婚申请过一次，平均都是6个月悲剧。来新从读书到工作总计8年半，都是教育行业。这次在pending6个月时，收到补交资料，两个月后全家批准。这些年看了很多成功与失败的案例，但是感觉大家都只是猜测，因为我们不知道标准！很多说公立学校好批准，私立没戏（我们就是私立）所以给私立毕业的朋友们打打气，加加油！当然我知道学历不是主要考评依据，但是私立毕业并不是不能成功申请！最近批准的很多是家庭，条件也都是：薪水6千以上的，来新时间起码7年以上的，有孩子的稳定家庭，大家加油吧！
",通过
男29岁美国硕士科技公司月薪7000+来新三年三个月20天拿到结果,通过
"单身女，27岁，本地博士，毕业后工作满半年时申请，3个月拿到IPAletter
",通过
"马来西亚男，27岁，呆在新加坡3年,薪水2800.（可能运气好）
",通过
"女，单身，32岁，国内211本科，SMUmaster，来新6年，EPholder
",失败
"
一次通过",通过
"主申请人-制造业，美国国籍，华人，月薪16k新币，本科学历。
附属申请人-Fintech-中国大陆国籍，澳洲+香港PR，月薪7k新币，澳洲双硕士学历。
年龄都是30岁，申请时是29岁。
来新两年。",通过
